__id,unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,facility_type,status,due_date,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,vehicle_type,taxi_company_borough,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,latitude,longitude,location_address,location_city,location_state,location_zip,location.type,location.coordinates,location
row-trsq-qcy9~5any,35342940,2017-01-26T00:42:09.000,2017-01-26T00:42:09.000,DOB,Department of Buildings,Elevator,Elevator - Defective/Not Working,,10451,401 EAST  157 STREET,EAST  157 STREET,,,,,ADDRESS,BRONX,,,Closed,,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,2017-01-26T00:00:00.000,01 BRONX,2023790007,BRONX,1007795.0,238620.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.821601009296515,-73.9149309078532,,,,,Point,"[-73.9149309078532, 40.821601009296515]",
row-jxvu.q79t.eiav,57521531,2023-05-06T18:58:52.000,2023-05-07T18:24:40.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10460,1825 BOSTON ROAD,BOSTON ROAD,,,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-05-07T00:00:00.000,03 BRONX,2029847503,BRONX,1016013.0,244924.0,ONLINE,Unspecified,BRONX,,,,,,,,40.838877939751406,-73.88520910453818,,,,,Point,"[-73.88520910453818, 40.838877939751406]",
row-jb7q_3rvi_4kaz,57647184,2023-05-18T10:59:07.000,2023-05-18T15:39:26.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10451,773 CONCOURSE VILLAGE EAST,CONCOURSE VILLAGE EAST,,,,,ADDRESS,BRONX,,,Closed,,"The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-05-18T00:00:00.000,04 BRONX,2024430170,BRONX,1006424.0,239132.0,ONLINE,Unspecified,BRONX,,,,,,,,40.82300985183132,-73.91988269473408,,,,,Point,"[-73.91988269473408, 40.82300985183132]",
row-imte.qjrt.jhws,61101515,2024-05-08T21:20:41.000,2024-05-10T10:32:02.000,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,11415,84-50 127 STREET,127 STREET,,,,,ADDRESS,KEW GARDENS,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2024-05-10T00:00:00.000,09 QUEENS,4092480031,QUEENS,1032769.0,196858.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.70687346935365,-73.82500039592209,,,,,Point,"[-73.82500039592209, 40.70687346935365]",
row-zy2a.jrt9_piu6,61101516,2024-05-08T16:35:57.000,2024-05-10T10:06:55.000,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,11213,1589 PRESIDENT STREET,PRESIDENT STREET,,,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2024-05-10T00:00:00.000,09 BROOKLYN,3014010063,BROOKLYN,1002168.0,182379.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66724682755266,-73.93541131870118,,,,,Point,"[-73.93541131870118, 40.66724682755266]",
row-92g4-xd3e.v8g7,21066890,2011-08-18T15:52:50.000,2024-01-22T00:00:00.000,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,11377,31-40 69 STREET,69 STREET,31 AVENUE,32 AVENUE,,,ADDRESS,WOODSIDE,,,Closed,,The Department of Buildings has investigated this complaint and found evidence of conditions that present an imminent danger duing occupancy of a portion of the property. A partial vacate order has been issued.,2024-01-22T00:00:00.000,03 QUEENS,4011390027,QUEENS,1012486.0,215190.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.757278247676716,-73.89808063263324,,,,,Point,"[-73.89808063263324, 40.757278247676716]",
row-z4yj~uygu_v4rg,21553540,2011-09-30T00:02:45.000,2024-01-22T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11368,97-01 38 AVENUE,38 AVENUE,97 STREET,98 STREET,,,ADDRESS,CORONA,,,Closed,,The Department of Buildings has investigated this complaint and found evidence of conditions that present an imminent danger duing occupancy of a portion of the property. A partial vacate order has been issued.,2024-01-22T00:00:00.000,03 QUEENS,4017600037,QUEENS,1020629.0,212530.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.74994747633372,-73.86870246466601,,,,,Point,"[-73.86870246466601, 40.74994747633372]",
row-jmnf~mmkx-6tkh,36048324,2017-04-27T10:42:49.000,2017-06-01T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,"Building - Vacant, Open And Unguarded",,11234,7007 VETERANS AVENUE,VETERANS AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2017-06-01T00:00:00.000,18 BROOKLYN,3084110150,BROOKLYN,1009592.0,165204.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.62008703724327,-73.90871469751634,,,,,Point,"[-73.90871469751634, 40.62008703724327]",
row-xx8w-y3d8~7ggn,57630427,2023-05-17T14:26:19.000,2023-05-19T15:35:56.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10036,353 WEST   44 STREET,WEST   44 STREET,,,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-05-19T00:00:00.000,04 MANHATTAN,1010350005,MANHATTAN,986932.0,215861.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.75916465037001,-73.99031890410726,,,,,Point,"[-73.99031890410726, 40.75916465037001]",
row-d8yx-633f~cx7c,22302348,2011-12-10T16:50:55.000,2024-01-22T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11369,24-24 GILMORE STREET,GILMORE STREET,,,,,ADDRESS,EAST ELMHURST,,,Closed,,The Department of Buildings has investigated this complaint and found evidence of conditions that present an imminent danger duing occupancy of a portion of the property. A partial vacate order has been issued.,2024-01-22T00:00:00.000,03 QUEENS,4016440013,QUEENS,1020493.0,218467.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.76624356445335,-73.86916130429469,,,,,Point,"[-73.86916130429469, 40.76624356445335]",
row-8zi4_mq2a_yd5u,36962695,2017-08-16T11:05:58.000,2017-08-17T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Fence - None/Inadequate,,11234,7007 VETERANS AVENUE,VETERANS AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",2017-08-17T00:00:00.000,18 BROOKLYN,3084110150,BROOKLYN,1009592.0,165204.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.62008703724327,-73.90871469751634,,,,,Point,"[-73.90871469751634, 40.62008703724327]",
row-hq83_an56.4yc9,37017584,2017-08-23T12:34:32.000,2017-08-29T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,"Building - Vacant, Open And Unguarded",,11234,7007 VETERANS AVENUE,VETERANS AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",2017-08-29T00:00:00.000,18 BROOKLYN,3084110150,BROOKLYN,1009592.0,165204.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.62008703724327,-73.90871469751634,,,,,Point,"[-73.90871469751634, 40.62008703724327]",
row-5wji~d8uv-k8bw,37054732,2017-08-28T08:15:29.000,2017-09-27T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal. Commercial Use In Resident Zone,,11234,7007 VETERANS AVENUE,VETERANS AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2017-09-27T00:00:00.000,18 BROOKLYN,3084110150,BROOKLYN,1009592.0,165204.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.62008703724327,-73.90871469751634,,,,,Point,"[-73.90871469751634, 40.62008703724327]",
row-7tnd~h3p7_syhi,37294498,2017-09-27T10:43:19.000,2017-09-29T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal. Commercial Use In Resident Zone,,11234,7007 VETERANS AVENUE,VETERANS AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",2017-09-29T00:00:00.000,18 BROOKLYN,3084110150,BROOKLYN,1009592.0,165204.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.62008703724327,-73.90871469751634,,,,,Point,"[-73.90871469751634, 40.62008703724327]",
row-qrdb~tczn-2j99,57631635,2023-05-17T14:26:38.000,2023-05-18T19:39:40.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,STAIRS,RESIDENTIAL BUILDING,10026,359 WEST  117 STREET,WEST  117 STREET,,,,,ADDRESS,NEW YORK,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-05-18T00:00:00.000,10 MANHATTAN,1019440108,MANHATTAN,996270.0,232863.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.80582285451959,-73.95658152562453,,,,,Point,"[-73.95658152562453, 40.80582285451959]",
row-cgcf~bvap.3357,61101525,2024-05-08T12:18:56.000,2024-05-10T09:17:18.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10458,2654 MARION AVENUE,MARION AVENUE,,,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2024-05-10T00:00:00.000,07 BRONX,2032820019,BRONX,1014471.0,254313.0,PHONE,Unspecified,BRONX,,,,,,,,40.8646533501921,-73.89073953501469,,,,,Point,"[-73.89073953501469, 40.8646533501921]",
row-k2xw~yd8k_mu68,32004805,2015-11-17T09:44:31.000,2023-12-01T00:00:00.000,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,11372,35-50 81 STREET,81 STREET,,,,,ADDRESS,JACKSON HEIGHTS,,,Closed,,The Department of Buildings has investigated this complaint and found that previous conditions that presented an imminent danger during occupancy of the property have been corrected. A full vacate order rescission has been granted.,2023-12-01T00:00:00.000,03 QUEENS,4012800026,QUEENS,1015959.0,213022.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.75131587031692,-73.88555488896712,,,,,Point,"[-73.88555488896712, 40.75131587031692]",
row-ns3z~kcg8_rj24,33478457,2016-05-31T14:24:00.000,2016-05-31T17:00:00.000,DEP,Department of Environmental Protection,Water System,Possible Water Main Break (Use Comments) (WA1),,10456,611 EAST  161 STREET,EAST  161 STREET,EAGLE AVE,CAULDWELL AVE,,,ADDRESS,BRONX,,,Closed,,The Department of Environmental Protection investigated this complaint and resolved the leak.,2016-05-31T17:00:00.000,03 BRONX,2026270001,BRONX,1009687.0,238808.0,PHONE,Unspecified,BRONX,,,,,,,,40.82211177009745,-73.90809432309149,,,,,Point,"[-73.90809432309149, 40.82211177009745]",
row-3k5t-prqn.9geb,37349646,2017-10-04T10:29:25.000,2017-10-05T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11234,7007 VETERANS AVENUE,VETERANS AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",2017-10-05T00:00:00.000,18 BROOKLYN,3084110150,BROOKLYN,1009592.0,165204.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.62008703724327,-73.90871469751634,,,,,Point,"[-73.90871469751634, 40.62008703724327]",
row-8463.v9vr~vdvi,57637764,2023-05-17T23:42:12.000,2023-05-19T20:52:13.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10019,446 WEST   58 STREET,WEST   58 STREET,,,,,ADDRESS,NEW YORK,,,Closed,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-05-19T00:00:00.000,04 MANHATTAN,1010670051,MANHATTAN,987966.0,219503.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.76916062655122,-73.98658450706913,,,,,Point,"[-73.98658450706913, 40.76916062655122]",
row-88ad.devy-dqv6,61101568,2024-05-08T22:12:49.000,2024-05-10T20:46:43.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10035,2013 5 AVENUE,5 AVENUE,,,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",2024-05-10T00:00:00.000,11 MANHATTAN,1017490066,MANHATTAN,1000178.0,232974.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.8061213379262,-73.94246484338393,,,,,Point,"[-73.94246484338393, 40.8061213379262]",
row-25jf_4bdn-y6ry,38268743,2018-01-21T12:16:21.000,2018-01-29T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,"Building - Vacant, Open And Unguarded",,11234,7007 VETERANS AVENUE,VETERANS AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2018-01-29T00:00:00.000,18 BROOKLYN,3084110150,BROOKLYN,1009592.0,165204.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.62008703724327,-73.90871469751634,,,,,Point,"[-73.90871469751634, 40.62008703724327]",
row-pdmk_cdtp.qf4b,58117433,2023-07-06T18:52:30.000,2023-07-24T02:04:32.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10010,40 WATERSIDE PLAZA,WATERSIDE PLAZA,,,,,ADDRESS,NEW YORK,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-07-24T00:00:00.000,06 MANHATTAN,1009910060,MANHATTAN,991511.0,208057.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73774206105882,-73.97379871839594,,,,,Point,"[-73.97379871839594, 40.73774206105882]",
row-9gw5_ekzk-6suw,18473491,2010-08-11T23:08:15.000,2011-04-26T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11435,145-54 BRINKERHOFF AVENUE,BRINKERHOFF AVENUE,INWOOD STREET,LIVERPOOL STREET,,,ADDRESS,JAMAICA,,,Closed,,The Department of Buildings has made a second attempt to conduct an inspection of this premises and was denied access. No further attempts will be made.,2011-04-26T00:00:00.000,12 QUEENS,4119430369,QUEENS,1039838.0,189977.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.68794518946442,-73.79956061392778,,,,,Point,"[-73.79956061392778, 40.68794518946442]",
row-cv8e.uj2m~zeqy,58798974,2023-09-11T20:01:06.000,2023-09-12T00:00:00.000,DOB,Department of Buildings,Electrical,Electrical Wiring Defective/Exposed,,11385,1927 WOODBINE STREET,WOODBINE STREET,,,,,ADDRESS,RIDGEWOOD,,,Closed,,The Department of Buildings reviewed this complaint and referred it to the Fire Department of New York for further action.,2023-09-12T00:00:00.000,05 QUEENS,4034790054,QUEENS,1010726.0,196059.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.7047738182172,-73.90450871986896,,,,,Point,"[-73.90450871986896, 40.7047738182172]",
row-upfc.nmkg_i6ij,59159391,2023-10-17T18:01:29.000,2023-10-20T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,11208,3242 FULTON STREET,FULTON STREET,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-10-20T00:00:00.000,05 BROOKLYN,3041410124,BROOKLYN,1018741.0,188012.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.68265907649101,-73.87564216853889,,,,,Point,"[-73.87564216853889, 40.68265907649101]",
row-y4ua~hpck_8ap6,59160342,2023-10-17T10:59:49.000,2023-10-17T10:59:49.000,DOB,Department of Buildings,Real Time Enforcement,Work Without A Permit - Occupied Multiple Dwelling,,10002,116 SUFFOLK STREET,SUFFOLK STREET,,,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-10-17T00:00:00.000,03 MANHATTAN,1003480010,MANHATTAN,988112.0,201228.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.719000260021495,-73.9860679116313,,,,,Point,"[-73.9860679116313, 40.719000260021495]",
row-e99v-8y2q_5ij7,59812094,2023-12-21T11:22:13.000,2023-12-21T11:22:13.000,DOB,Department of Buildings,General Construction/Plumbing,Curb Cut/Driveway/Carport - Illegal,,11235,2420 EAST    7 STREET,EAST    7 STREET,,,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Buildings attempted to investigate this complaint but could not locate the premises. If the problem still exists, please call 311 and file a new complaint with additional information about how to locate the building. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-12-21T00:00:00.000,15 BROOKLYN,,BROOKLYN,994576.0,154672.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.59120907646073,-73.96282044603747,,,,,Point,"[-73.96282044603747, 40.59120907646073]",
row-ukgk-upsr~y8ge,32831166,2016-03-04T12:31:31.000,2023-12-01T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11105,23-54 32 STREET,32 STREET,,,,,ADDRESS,ASTORIA,,,Closed,,The Department of Buildings has investigated this complaint and found evidence of conditions that present an imminent danger duing occupancy of a portion of the property. A partial vacate order has been issued.,2023-12-01T00:00:00.000,01 QUEENS,4008350139,QUEENS,1008100.0,220777.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.7726260309522,-73.91389230178753,,,,,Point,"[-73.91389230178753, 40.7726260309522]",
row-nyrp.c49m_sk6e,32954202,2016-03-21T12:59:10.000,2023-12-01T00:00:00.000,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,11105,23-18 DITMARS BOULEVARD,DITMARS BOULEVARD,,,,,ADDRESS,ASTORIA,,,Closed,,The Department of Buildings has investigated this complaint and found evidence of conditions that present an imminent danger duing occupancy of a portion of the property. A partial vacate order has been issued.,2023-12-01T00:00:00.000,01 QUEENS,4008770034,QUEENS,1007615.0,223319.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.77960444470359,-73.9156344987352,,,,,Point,"[-73.9156344987352, 40.77960444470359]",
row-vu4p.fhcf.kdj5,18449337,2010-08-09T15:20:02.000,2024-09-23T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,11423,182-41 89 AVENUE,89 AVENUE,182 PLACE,183 STREET,,,ADDRESS,HOLLIS,,,Closed,,The Department of Buildings investigated this complaint and removed the stop work order.,2024-09-23T00:00:00.000,12 QUEENS,4099190003,QUEENS,1045513.0,198866.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.71230587770458,-73.77901690581997,,,,,Point,"[-73.77901690581997, 40.71230587770458]",
